Committers,,,,,
ffantato,,,,,
dbarboza,,,,,
oferranti,,,,,
ecloninger,,,,,

Developer Contributions,,,,,
component (CVS directory),bug #,contributor name,size (lines),committer,description
org.eclipse.tml.emulator/*,206666,Various Motorola and Eldorado,6050,ffantato,Device Emulator Framework Initial Contribution
org.eclipse.tml.emulator/*,206668,Various Motorola and Eldorado,2350,ffantato,TM-base device emulator framework Initial Contribution
org.eclipse.tml.emulator/*,206666,Various Motorola and Eldorado,2,ffantato,discontinue code (deprecated)
org.eclipse.tml.emulator/*,206668,Various Motorola and Eldorado,2,ffantato,discontinue code (deprecated)
org.eclipse.tml.device/*,206669,Various Motorola and Eldorado,4430,ffantato,Device Framework
org.eclipse.tml.vnc/*,206670,Various Motorola and Eldorado,2120,ffantato,VNC Component 0.1
org.eclipse.tml.vnc/*,206670,Various Motorola and Eldorado,3160,ffantato,VNC Component 0.2
org.eclipse.tml.vnc/*,206670,Various Motorola and Eldorado,3320,ffantato,VNC Component 0.3
org.eclipse.tml.vnc/examples/org.eclipse.tml.echo,221741,Fabio Rigo,135,dbarboza,echo sample plugin
org.eclipse.tml.vnc/plugins/org.eclipse.tml.protocol,221741,Fabio Rigo,2025,dbarboza,protocol mechanism plugin
org.eclipse.tml.vnc/plugins/org.eclipse.tml.vncviewer,221741,Fabio Rigo,795,dbarboza,vnc viewer patch
org.eclipse.tml.vnc/plugins/org.eclipse.tml.vncviews,221741,Fabio Rigo,60,dbarboza,vnc views patch
org.eclipse.tml.device/*,221733,Otavio Ferranti,1889,ffantato,Patch to Persistency model in Device Framework
org.eclipse.tml.device/plugins/org.eclipse.tml.device.framework.InstanceManager.java,221733,Yu-Fen Kuo,212,ffantato,Change in the Otavio´s class to remove JDOM dependency
org.eclipse.tml.vnc/*,227793,Eugene Melekhov (Montavista),1741,dbarboza,Implementation of the several encodings, performance enhancement etc
org.eclipse.tml.framework.device/*,239970,Daniel Barboza Franco (Eldorado),28,dbarboza,Invisible Services
org.eclipse.tml.vncviewer/*,233775,Daniel Barboza Franco (Eldorado),83,dbarboza,Does not have a way to enter the session password for the vnc connection
org.eclipse.tml.vncviewer/*,233062,Daniel Barboza Franco (Eldorado),14,dbarboza,Protocol connection port is static.
org.eclipse.tml.vnc./*,238191,Fabio Rigo,xx,dbarboza,Enhance exception handling 
org.eclipse.tml.vnc/plugins/org.eclipse.tml.vnvviewer.*,242129,Daniel Barboza Franco(Eldorado),xx,dbarboza,Raw enconding not implemented correctly 
"org.eclipse.tml.protocol.lib.internal.engine.ProtocolEngine,243918,Fabio Fantato,2,ffantato,Wrong ""If"" test in ProtocolEngine class."
org.eclipse.tml.framework.device.manager.DeviceManager,242109,Fabio Fantato,2,ffantato,IDevice.getServices() returns a null reference
org.eclipse.tml.echo.*,243305,Fabio Fantato,20,ffantato,The plugin org.eclipse.tml.echo has compilation errors about exception handling mechanism 
org.eclipse.tml.vnc/*,242757,Fabio Rigo(Eldorado),135,ffantato,Protocol does not support Unicode on variable sized fields
org.eclipse.tml.device/plugins/org.eclipse.tml.framework.device.factory.InstanceRegistry.java,244052,Fabio Rigo(Eldorado),11,ffantato,The dirtyChanged method is being called out of UI thread
org.eclipse.tml.vnc/plugins/org.eclipse.tml.vncviewer.graphics.swt.SWTRemoteDisplay.java,244062,Fabio Rigo(Eldorado),11,ffantato,SWTRemoteDisplay do not force the first update request to be full
org.eclipse.tml.device/plugins/*,244066,Fabio Rigo(Eldorado),751,ffantato,The services are being run at one of the UI threads
org.eclipse.tml.framework.device.ui,244067,Fabio Rigo(Eldorado),244,ffantato,The exception handling interface should forward the protocol implementer object
org.eclipse.tml.vnc/plugins/org.eclipse.tml.vncviewer/META-INF/MANIFEST.MF,244068,Fabio Rigo(Eldorado),2,ffantato,org.eclipse.tml.vncviewer.graphics.swt.img package is not exported
org.eclipse.tml.service.*,244150,Fabio Rigo(Eldorado),2,ffantato,Change name of services Start and Stop
org.eclipse.tml.vnc/plugins/org.eclipse.tml.vncviewer/build.properties,244147,Fabio Rigo(Eldorado),2,ffantato,plugin.xml file is not being exported
org.eclipse.tml.device/plugins/org.eclipse.tml.framework.device.TmLUtils.java,244069,Daniel Guimaraes(Eldorado),100,ffantato,Need some APIs that could be common use of the framework
"org.eclipse.tml.device/plugins/*,244539,Fabio Fantato (Eldorado),147,ffantato,The plug-in ""org.eclipse.tml.service.start"" depends on jdt"
org.eclipse.tml.vnc/*,244806,Fabio Rigo(Eldorado),6,ffantato,SWTRemoteDisplay state is not consistent on errors
org.eclipse.tml.device/*,244951,Fabio Rigo(Eldorado),293,ffantato,Implement listener/event mechanism at device framework
"org.eclipse.tml.device/*,245111,Fabio Rigo(Eldorado),92,ffantato,Disable the ""Delete"" option in popup if the instance is not prepared for deletion"
org.eclipse.tml.device/*,245114,Fabio Rigo(Eldorado),845,ffantato,Enhance persistence policies
org.eclipse.tml.device/*,246380,Daniel Franco(Eldorado),3,dbarboza,Wrong dependency declared on Manifest.
org.eclipse.tml.device/*,244805,Julia Perdigueiro(Eldorado),1345,ffantato,Improvements on Instance view
org.eclipse.tml.protocol/*,246212,Fabio Rigo(Eldorado),2162,ffantato,Enhance encapsulation of protocol implementer
org.eclipse.tml.device/*,244856,Julia Perdigueiro(Eldorado),1696,ffantato,Instance View usability should be improved
org.eclipse.tml.device/*,236476,Yufen Kuo(Montavista),3545,ffantato,provide a generic device plugin for various device types
